组织名称,简介
皇家勒索软件（Royal）,2022年成立的美国勒索软件组织，已针对全球350多个已知受害者
LockBit,2019年成立的俄罗斯背景勒索软件即服务组织，最多产的勒索软件家族之一，已发起约1700起攻击
Rhysida,2023年5月首次发现的新兴勒索软件组织，采用双重勒索策略
DragonForce Malaysia,2010年成立的马来西亚黑客活动组织，以亲巴勒斯坦立场著称
ALPHV（BlackCat）,日本/俄罗斯背景勒索软件即服务组织，2021年发现，以Rust编写的高度定制化勒索软件闻名
孟加拉国神秘团队,2020年创建的孟加拉国黑客组织，2022年起活跃，针对印度/以色列等国实施DDoS攻击
甘诺赛克（Ganosec Team）,2008年成立的伊斯兰背景政治黑客组织，主要支持巴勒斯坦对以色列进行攻击
巴基斯坦疯狂团队（Team Insane Pakistan）,巴基斯坦政治黑客组织，以DDoS攻击为主要手段，针对印度等目标
印度网络部队（India Cyber Force）,2003年成立的印度黑客组织，疑似与印度警方有关联，针对多国实施攻击
Storm-0062（DarkShadow）,伊朗APT组织，利用Atlassian Confluence漏洞等对美国/以色列等目标实施攻击
KillNet,2022年成立的亲俄黑客组织，俄乌冲突后对美西方国家实施大规模DDoS攻击
黑格莎（Higaisa）,韩国政府背景黑客组织，约2015年成立，针对朝鲜/中国/日本等国进行攻击
APT37（ScarCruft）,朝鲜网络间谍组织，2012年起活跃，2017年后扩大影响范围至日本/越南/中东等
Monti,俄罗斯政府机构下属黑客组织，2022年左右成立，模仿Conti战术针对各国政府/法律部门
Muppets,美国情报背景黑客组织，2020年左右成立，针对伊朗/叙利亚等中东地区实施攻击
Xaknet,俄罗斯GRU支持的APT组织，2007年成立，俄乌冲突后对乌克兰目标实施攻击
Tortoiseshell（Crimson Sandstorm）,伊朗APT组织，2018年起活跃，以水坑攻击为主要手段，针对沙特等目标
Carbanak（Anunak/Carbon Spider）,俄罗斯金融黑客组织，2012年成立，以窃取银行支付卡信息著称，窃取超10亿美元
NSO Group,2010年创立的以色列间谍软件公司，以"飞马"（Pegasus）间谍软件闻名，可对智能手机进行远程零点击监控
